ERM ID,Material type,Core size (nm),Method core size,Hydro size (nm),Method hydro size,Surface charge (mV),Method surface charge,Surface area (m2/g),Method surface area,_Hsf (eV),Ec (eV),Ev (eV),_MeO (eV),Assay,Cell name,Cell species,Exposure time,Exposure dose (ug/mL),Viability (%),Toxicity,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84
,Fe2O3,42.5,,957.0,,-8.2,,82.8,,-8.512,-4.99,-6.99,5.98,,HCMEC,Normal,12,50.0,98.7013,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,115.0,,360.0,,-10.0,,14.4,,-3.608,-3.89,-7.2,5.67,,HONDC,Normal,12,100.0,33.5065,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,20.0,82.2599,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,RAW264.7,Mouse,24h,6.3,97.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,48,1e-05,100.2654,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CuO,46.3,,239.0,,42.8,,24.1,,-1.609,-5.17,-6.51,5.87,,HCMEC,Normal,12,100.0,15.7759,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,206.3,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,BEAS-2B,Human,24h,50.0,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,274.9,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,BEAS-2B,Human,24h,1.6,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,196.6,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,ATP,RAW264.7,Mouse,24h,12.5,95.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,30.0,,1843.0,,-30.8,,69.0,,-9.779,-4.16,-7.49,5.77,,A549,Cancer,72,12.5,89.2754,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000288,La2O3,24.6,TEM,162.6,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,ATP,RAW264.7,Mouse,24h,50.0,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000289,Mn2O3,51.5,TEM,298.4,DLS,-46.1,Zeta-potential,25.9,Estimation,-9.917,-4.65,-7.63,5.92,ATP,BEAS-2B,Human,24h,3.2,78.1,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,6,40.0,100.7,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,3,20.0,86.4897,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,307.7,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,ATP,BEAS-2B,Human,24h,100.0,90.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000285,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,ATP,BEAS-2B,Human,24h,0.8,97.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000289,Mn2O3,51.5,TEM,291.7,DLS,-46.1,Zeta-potential,25.9,Estimation,-9.917,-4.65,-7.63,5.92,LDH,RAW264.7,Mouse,24h,50.0,55.5,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,307.7,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,ATP,BEAS-2B,Human,24h,3.2,87.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,80.0,85.4237,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000278,CuO,12.8,TEM,313.8,DLS,7.6,Zeta-potential,74.2,Estimation,-1.609,-5.17,-6.51,5.87,ATP,RAW264.7,Mouse,24h,100.0,14.3,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000288,La2O3,24.6,TEM,155.1,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,LDH,BEAS-2B,Human,24h,50.0,93.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,274.9,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,BEAS-2B,Human,24h,6.3,92.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,60.0,83.8418,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000281,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,ATP,BEAS-2B,Human,24h,1.6,91.7,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,24,30.0,71.2666,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,40.0,,322.3,,-25.27,,50.0,,-9.779,-4.16,-7.49,5.77,,L02,Normal,6,5.0,89.4,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,3,40.0,120.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,30.0,,1843.0,,-30.8,,69.0,,-9.779,-4.16,-7.49,5.77,,A549,Cancer,12,50.0,99.5401,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,259.8,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,LDH,BEAS-2B,Human,24h,100.0,96.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,48,35.0,7.2973,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,7.5,,795.0,,27.4,,90.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,12,6.25,84.065,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,3,120.0,116.4,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,230.5,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,RAW264.7,Mouse,24h,12.5,89.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,21.0,,327.0,,-9.42,,57.0,,-9.779,-4.16,-7.49,5.77,,ChangLiv,Normal,24,1e-05,93.757,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,24,10.0,105.4524,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,80.0,127.7778,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,260.4,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,BEAS-2B,Human,24h,50.0,81.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,48,20.0,82.0748,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000281,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,LDH,BEAS-2B,Human,24h,6.3,92.8,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,260.4,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,LDH,BEAS-2B,Human,24h,0.8,97.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000293,SiO2,13.5,TEM,46.4,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,ATP,RAW264.7,Mouse,24h,50.0,84.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000290,NiO,13.1,TEM,202.8,DLS,27.6,Zeta-potential,68.7,Estimation,-2.494,-3.57,-7.45,5.74,LDH,BEAS-2B,Human,24h,0.8,99.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,32.0,,1093.0,,21.6,,37.0,,-3.608,-3.89,-7.2,5.67,,A549,Cancer,12,3.13,93.4426,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,280.6,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,LDH,RAW264.7,Mouse,24h,12.5,84.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,259.8,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,LDH,BEAS-2B,Human,24h,6.3,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,206.3,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,BEAS-2B,Human,24h,25.0,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000293,SiO2,13.5,TEM,46.4,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,ATP,RAW264.7,Mouse,24h,100.0,81.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,280.6,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,ATP,RAW264.7,Mouse,24h,1.6,95.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,45.3,,310.0,,32.7,,21.3,,-3.608,-3.89,-7.2,5.67,,HCMEC,Normal,12,50.0,36.6234,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,196.6,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,LDH,RAW264.7,Mouse,24h,100.0,87.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000289,Mn2O3,51.5,TEM,298.4,DLS,-46.1,Zeta-potential,25.9,Estimation,-9.917,-4.65,-7.63,5.92,ATP,BEAS-2B,Human,24h,100.0,18.7,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,48,15.0,100.5549,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,35.6,,295.5,,-41.6,,27.9,,-3.608,-3.89,-7.2,5.67,,SW480,Cancer,48,0.1,114.2285,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000278,CuO,12.8,TEM,305.3,DLS,7.6,Zeta-potential,74.2,Estimation,-1.609,-5.17,-6.51,5.87,LDH,BEAS-2B,Human,24h,6.3,87.6,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,248.4,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,RAW264.7,Mouse,24h,1.6,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,244.5,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,ATP,RAW264.7,Mouse,24h,200.0,94.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000286,HfO2,28.4,TEM,280.6,DLS,33.5,Zeta-potential,21.8,Estimation,-1.17,-2.96,-8.37,5.71,ATP,RAW264.7,Mouse,24h,6.3,86.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,33.7,,303.0,,-25.3,,42.5,,-9.779,-4.16,-7.49,5.77,,SW480,Cancer,24,0.1,79.6464,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000278,CuO,12.8,TEM,305.3,DLS,7.6,Zeta-potential,74.2,Estimation,-1.609,-5.17,-6.51,5.87,ATP,BEAS-2B,Human,24h,25.0,45.3,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,10.0,,1457.0,,-11.0,,166.0,,-9.779,-4.16,-7.49,5.77,,BEAS2B,Normal,24,30.0,91.303482,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,195.5,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,ATP,RAW264.7,Mouse,24h,200.0,83.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000288,La2O3,24.6,TEM,162.6,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,ATP,RAW264.7,Mouse,24h,1.6,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,33.7,,308.0,,-25.3,,42.5,,-9.779,-4.16,-7.49,5.77,,Caco2,Cancer,24,100.0,106.5856,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,228.3,,-10.7,,40.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,24,60.0,102.71,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000288,La2O3,24.6,TEM,162.6,DLS,54.3,Zeta-potential,30.0,Manufacturer,-18.668,-2.38,-8.15,5.38,ATP,RAW264.7,Mouse,24h,100.0,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000293,SiO2,13.5,TEM,46.4,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,LDH,RAW264.7,Mouse,24h,100.0,84.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,21.0,,133.0,,-9.42,,57.0,,-9.779,-4.16,-7.49,5.77,,ChangLiv,Normal,24,1e-05,95.6434,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000281,CoO,71.8,TEM,208.3,DLS,21.6,Zeta-potential,13.0,Estimation,-2.476,-4.42,-6.83,5.74,ATP,BEAS-2B,Human,24h,3.2,83.5,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,115.0,,360.0,,-10.0,,14.4,,-3.608,-3.89,-7.2,5.67,,HONDC,Normal,24,10.0,100.0,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000278,CuO,12.8,TEM,305.3,DLS,7.6,Zeta-potential,74.2,Estimation,-1.609,-5.17,-6.51,5.87,ATP,BEAS-2B,Human,24h,50.0,31.7,Toxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CuO,46.3,,239.0,,42.8,,24.1,,-1.609,-5.17,-6.51,5.87,,HCMEC,Normal,12,0.1,94.6552,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000285,Gd2O3,43.8,TEM,227.4,DLS,6.5,Zeta-potential,40.0,Manufacturer,-18.82,-2.83,-8.1,5.5,ATP,BEAS-2B,Human,24h,3.2,89.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000292,Sb2O3,11.8,TEM,195.5,DLS,-35.3,Zeta-potential,93.6,Estimation,-7.346,-3.64,-8.14,5.51,LDH,RAW264.7,Mouse,24h,6.3,82.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,100.0,,273.4,,-11.7,,20.0,,-3.608,-3.89,-7.2,5.67,,SHSY5Y,Cancer,3,1e-05,100.2703,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,33.7,,303.0,,-25.3,,42.5,,-9.779,-4.16,-7.49,5.77,,SW480,Cancer,48,1.0,99.1734,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,248.4,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,RAW264.7,Mouse,24h,12.5,98.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZnO,35.6,,295.5,,-41.6,,27.9,,-3.608,-3.89,-7.2,5.67,,SW480,Cancer,24,0.1,99.3899,nonToxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000277,Al2O3,14.7,TEM,260.4,DLS,0.0,Zeta-potential,101.4,Estimation,-17.345,-1.51,-9.81,5.67,ATP,BEAS-2B,Human,24h,25.0,92.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000279,CeO2,18.3,TEM,261.6,DLS,21.4,Zeta-potential,44.0,Manufacturer,-11.284,-3.8,-7.45,5.65,LDH,BEAS-2B,Human,24h,6.3,82.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000287,In2O3,59.6,TEM,244.5,DLS,61.9,Zeta-potential,14.0,Estimation,-9.606,-3.63,-7.32,5.58,ATP,RAW264.7,Mouse,24h,25.0,89.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,33.7,,308.0,,-25.3,,42.5,,-9.779,-4.16,-7.49,5.77,,Caco2,Cancer,24,10.0,90.5247,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,25.0,,504.5,,-10.7,,210.0,,-9.779,-4.16,-7.49,5.77,,SHSY5Y,Cancer,6,120.0,121.1111,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000283,Fe2O3,12.3,TEM,206.3,DLS,-2.1,Zeta-potential,93.1,Estimation,-8.512,-4.99,-6.99,5.98,ATP,BEAS-2B,Human,24h,100.0,85.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM00000293,SiO2,13.5,TEM,181.9,DLS,-31.8,Zeta-potential,640.0,Manufacturer,-9.41,-2.02,-11.12,6.19,LDH,BEAS-2B,Human,24h,50.0,91.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,20.0,,707.0,,-12.1,,50.4,,-9.779,-4.16,-7.49,5.77,,BEAS2B,Normal,24,30.0,100.0,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TiO2,125.0,,1054.0,,-40.8,,38.0,,-9.779,-4.16,-7.49,5.77,,A549,Cancer,72,6.25,68.4783,Nontoxic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
